instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,1/1/2011,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985
2,1/2/2011,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801
3,1/3/2011,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349
4,1/4/2011,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562
5,1/5/2011,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600
6,1/6/2011,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606
7,1/7/2011,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510
8,1/8/2011,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959
9,1/9/2011,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,822
10,1/10/2011,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321
11,1/11/2011,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263
12,1/12/2011,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162
13,1/13/2011,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406
14,1/14/2011,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421
15,1/15/2011,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248
16,1/16/2011,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204
17,1/17/2011,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000
18,1/18/2011,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683
19,1/19/2011,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650
20,1/20/2011,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927
21,1/21/2011,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543
22,1/22/2011,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981
23,1/23/2011,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986
24,1/24/2011,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416
25,1/25/2011,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985
27,1/27/2011,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431
28,1/28/2011,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167
29,1/29/2011,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098
30,1/30/2011,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096
31,1/31/2011,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501
32,2/1/2011,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360
33,2/2/2011,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526
34,2/3/2011,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550
35,2/4/2011,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708
36,2/5/2011,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005
37,2/6/2011,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623
38,2/7/2011,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712
39,2/8/2011,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530
40,2/9/2011,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605
41,2/10/2011,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,1538
42,2/11/2011,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746
43,2/12/2011,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472
44,2/13/2011,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589
45,2/14/2011,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913
46,2/15/2011,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,1815
47,2/16/2011,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115
48,2/17/2011,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,2475
49,2/18/2011,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927
50,2/19/2011,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635
51,2/20/2011,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,1812
52,2/21/2011,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,1107
53,2/22/2011,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,1450
54,2/23/2011,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,1917
55,2/24/2011,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807
56,2/25/2011,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,1461
57,2/26/2011,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,1969
58,2/27/2011,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,2402
59,2/28/2011,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,1446
60,3/1/2011,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1851
61,3/2/2011,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,2134
